ID,Você conhece e já utilizou o Simulador de Aposentadoria no SOUGOV.BR?,Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência,"1
Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência",Eu achei o Simulador de Aposentadoria muito complexo,"2
Eu achei o Simulador de Aposentadoria muito complexo",Eu achei o Simulador de Aposentadoria fácil de usar,"3
Eu achei o Simulador de Aposentadoria fácil de usar",Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria,"4
Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria",Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas,"5
Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas",Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência,"6
Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência",Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente,"7
Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente",Eu achei o Simulador de Aposentadoria difícil de usar,"8
Eu achei o Simulador de Aposentadoria difícil de usar",Eu me senti confiante usando o Simulador de Aposentadoria,"9
Eu me senti confiante usando o Simulador de Aposentadoria","Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria","10
Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria","Agradeço a sua participação e abro o espaço para que você possa contribuir com alguma crítica, sugestão ou elogio sobre o Simulador de Aposentadoria.","Some a pontuação total de todas as questões ímpares (questões 1, 3, 5, 7 e 9) e, em seguida, subtraia 5 do total para obter (X).","Some a pontuação total de todas as questões de número par (questões 2, 4, 6, 8 e 10), então subtraia esse total de 25 para obter (Y).","Some a pontuação total dos novos valores (X+Y) e multiplique por 2,5.",clean_text
2359,Sim,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Informações incompletas!,5,15,50,informacao incompleto
2360,Sim,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,"No meu caso, tenho direito a aposentadoria integral. Mas, apareceram muitos artigos e nada da aposentadoria integral.",4,0,10,direito integral aparecer artigo integral
2362,Sim,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,"Não concordo, nem discordo",3,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,,11,14,"62,5",
2363,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Espero que as informações que constam ali sejam confiantes para que possamos tomar a decisão. Parabéns pelo trabalho,20,20,100,esperar informacao constar confiante possar tomar decisao parabens trabalho
2366,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,Concordo parcialmente,4,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,,11,8,"47,5",
2369,Sim,Discordo totalmente,1,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo totalmente,1,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo totalmente,1,Discordo parcialmente,2,Discordo totalmente,1,"Tenho pouco tempo de serviço público, mas muito tempo de contribuição ao INSS. O Simulador de Aposentadoria não me apresenta requisitos que preencherei. Do jeito que está, ele é inútil para mim. O ideal é que ele fosse integrado ao INSS e apresentasse todas as opções de aposentadoria, pelos dois regimes.",7,19,65,publico contribuicao inss requisito preencherei jeito inutil ideal integrar inss opcao regime
2372,Sim,Concordo totalmente,5,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Discordo totalmente,1,Discordo parcialmente,2,Discordo totalmente,1,,8,16,60,
2373,Sim,Discordo totalmente,1,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,"Caso os Sistemas do INSS funcionassem de uma forma melhor, sem inconsistências, sem erros e sem instabilidades seria melhor ",8,18,65,inss funcionar inconsistencia erro instabilidade
2377,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,,16,20,90,
2378,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,20,20,100,
2386,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,incluir o benefício especial na simulação,17,15,80,incluir beneficio especial
2387,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,20,19,"97,5",
2388,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo totalmente,5,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,"1 mesmo que o servidor ainda não tenha direito a aposentadoria, deveria fazer o cálculo com valores para o servidor ter uma noção do valor que vai aposentar;
2 abrir campo para lançar averbação do RGPS, também com lançamento de valores, para um cálculo mais preciso. ",17,17,85,direito calculo nocao abrir campo lancar averbacao rgps lancamento calculo preciso
2389,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,"Não concordo, nem discordo",3,Discordo parcialmente,2,,12,9,"52,5",
2391,Sim,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,16,20,90,
2394,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,20,18,95,
2399,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,O simulador deveria abordar os aspectos do BE e do TC que são muito importantes para os servidores que migraram. ,18,18,90,abordar aspecto importante migrar
2401,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Concordo parcialmente,4,"Como fica a situação dos servidores que ingressaram antes da EC 20 no que tange a atual alteração realizada em 2019. Não há o direito a PARIDADE e INTEGRALIDADE? 

Passou a ser ""Expectativa do DIREITO"", também?",14,12,65,situacao ingressar tangir atual alteracao realizar direito paridade integralidade passar expectativa direito
2402,Sim,Concordo totalmente,5,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo totalmente,5,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,"Eu não entendi o funcionamento do simulador. Existem diferentes datas de aposentadoria. Eu consigo me aposentar em todas aquelas datas? Quais as diferenças? Na simulação não gerou valores de aposentadoria. No aplicativo não considera o tempo de trabalho e contribuição anterior a entrada no IFSP. O simulador não me esclareceu nada, só me deixou confuso.",7,2,"22,5",entendi funcionamento existir diferentes data data diferenca gerar aplicativo considerar trabalho contribuicao anterior entrada ifsp esclarecer deixar confuso
2403,Sim,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo parcialmente,2,"Não concordo, nem discordo",3,"Peço que corrijam o simulador. Ao simular o cálculo da aposentadoria para ""EC103 20 §§ 1º E 2º II MAGISTE PEDGMEDI"", o simulador não está levando em conta o meu tempo de contribuição no serviço público estadual, apesar de ter incluído a minha certidão de tempo de serviço/contribuição no sistema.",11,6,"42,5",pecar corrijam calculo ecSS magiste pedgmedir levar conta contribuicao publico estadual apesar incluir certidao contribuicao
2404,Sim,Concordo totalmente,5,Concordo parcialmente,4,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo totalmente,1,"Não concordo, nem discordo",3,,7,8,"37,5",
2406,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Parabéns pelo simulador. Achei muito prático e simples de utilizar. ,20,20,100,parabens pratico simples utilizar
2410,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Concordo totalmente,5,Concordo parcialmente,4,,13,5,45,
2413,Sim,Discordo parcialmente,2,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Concordo totalmente,5,Discordo parcialmente,2,,10,10,50,
2415,Sim,Concordo parcialmente,4,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,,14,16,75,
2416,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,"No simulador já posso aposentar agora com o último salário massss o departamento de pessoal local garantiu que não, somente em outubro de 2027 ... ",16,16,80,salario mass departamento pessoal garantir outubro
2418,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Muito bom,19,20,"97,5",
2419,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,"Achei uma ótima solução de acompanhamento da situação atual, especialmente pelo fato de que a DEforma da previdência de 2019 destruiu grande parte dos direitos de aposentadoria com vários retrocessos.

Seria importante que o simulador englobasse situações diversas, envolvendo mais de um tipo de contribuição, como por exemplo tempo de contribuição anterior do INSS, se a pessoa é ou não vinculada à FUNPRESP e qual seria o cenário APÓS solicitar aposentadoria, se haverá atualização salarial, etc.

",16,17,"82,5",otimo solucao acompanhamento situacao atual especialmente fato deforma previdencia destruir direito retrocesso importante englobar situacao diverso envolver contribuicao contribuicao anterior inss pessoa vincular funpresp cenario solicitar atualizacao salarial etc
2421,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,,15,14,"72,5",
2425,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Parabéns pela ferramenta, fácil de usar. Como sugestão, a ferramenta poderia informar somente a forma mais vantajosa de aposentadoria para o servidor. Na simulação realizada, obtive cinco opções para requerer aposentadoria, MAS uma delas as vantagens apresentadas eram superiores às demais, então, essa foi a escolhida para simular a aposentadoria. Uma dúvida, esse simulador traz informação confiável? Fiquei muito otimista com o resultado obtido.",20,19,"97,5",parabens ferramenta facil sugestao ferramenta informar vantajoso realizar obtiver opcao requerer vantagem alto escolhida duvida informacao confiavel fiquei otimista resultado obter
2426,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,"Fácil de usar, porém, para quem tem dificuldade com sistemas, os normativos podem confundir.",13,15,70,facil dificuldade normativo confundir
2431,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Discordo totalmente,1,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,,12,17,"72,5",
2432,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Achei bom,14,13,"67,5",
2434,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo parcialmente,4,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Concordo parcialmente,4,Senti falta das opções de aposentaria proporcional ao tempo de contribuição. ,16,11,"67,5",sentir opcao aposentaria proporcional contribuicao
2435,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,,15,15,75,
2436,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Discordo totalmente,1,Discordo parcialmente,2,"Acredito que por se tratar de uma ferramenta feita para o servidor público poderia trazer, uma integração maior com os dados do INSS, apresentando o tempo que, por ventura, o servidor tenha na iniciativa privada e permita que o mesmo escolha se quer averbar esse tempo ou não. ",11,17,70,acreditar tratar ferramenta publico integracao dado inss ventura iniciativa privado permitir escolha querer averbar
2437,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,,17,19,90,
2438,Sim,Concordo totalmente,5,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Uma ferramenta que contribui para transparência dos direitos vinculado às respostas rápidas e eficiente das dúvidas de cálculos de aposentadoria.  Eficiência na resposta para o cidadão em qualquer lugar com Internet.  Sem filas e sem espera. ,20,17,"92,5",ferramenta contribuir transparencia direito vincular resposta rapido eficiente duvida calculo eficiencia resposta cidadao internet fila espera
2439,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,,8,10,45,
2441,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Poderia haver um espaço para simular a inserção de outros vínculos para a gente saber se vale a pena fazer o averbamento do tempo de serviço ou não.  ,11,12,"57,5",espaco insercao outro vinculo gente valer pena averbamento
2442,Sim,Discordo parcialmente,2,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo totalmente,1,Discordo totalmente,1,Discordo parcialmente,2,"Falta integração com o tempo de averbação na iniciativa privada, pelo visto esse simulador, só leva  consideração o tempo efetivo no serviço público ",4,18,55,faltar integracao averbacao iniciativa privado visto levar consideracao efetivo publico
2446,Sim,"Não concordo, nem discordo",3,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo totalmente,5,Discordo parcialmente,2,"Não concordo, nem discordo",3,"Achei complicado estimar o valor da aposentadoria. Não fica claro.
Mesmo não tendo tempo de contribuição pra fazer o cálculo exato, o simulador poderia fazer uma estimativa em função dos valores recebidos no momento.",7,4,"27,5",complicar estimar claro contribuicao pra calculo exato estimativa funcao recebir
2449,Sim,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,"Não concordo, nem discordo",3,,6,4,25,
2450,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Nem todas as respostas vem acompanhadas da lei que determina a possibilidade de aposentadoria. Talvez citar a lei seria melhor, mas fácil de consultar para compreender o pq não pode ainda aposentar ou pq o servidor não atende a exigência. ",19,20,"97,5",resposta vir acompanhar lei determinar possibilidade citar lei facil consultar compreender atender exigencia
2451,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,20,20,100,
2452,Sim,Concordo parcialmente,4,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo parcialmente,2,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo parcialmente,2,,13,14,"67,5",
2459,Sim,Discordo parcialmente,2,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo parcialmente,2,"Deveria de ter um campo para colocar período do RGPS, ",14,18,80,campo colocar periodo rgp
2460,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Não entendi o motivo de não conseguir usar o simulador por não ter o tempo para aposentar. Não é um simulador? Então poderia fazer uma projeção.,10,13,"57,5",entendi motivo conseguir projecao
2462,Sim,"Não concordo, nem discordo",3,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,"Muito interessante o Simulador, já trabalhei com Aposentadoria no MF e hoje com meus 45 anos de Serviço Público preencho os requisitos apresentados, com certeza. ",8,18,65,interessante trabalhar hoje ano publico preenchar requisito
2466,Sim,Discordo totalmente,1,Concordo parcialmente,4,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,"Confuso ao que refere cada tipo de aposentadoria. Pelos meus cálculos me aposento com 30 anos de serviço. Mas não apareceu essa opção.
",1,3,10,confuso referir calculo aposento ano aparecer opcao
2469,Sim,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Senhores organizadores, favor colocar aba para procedimentos e orientações quanto as questões relacionadas à averbação do tempo de serviço em outra rede pública. ",20,13,"82,5",senhor organizador colocar aba procedimento orientacao relacionar averbacao outro rede publico
2471,Sim,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,"Prezados, acredito que o simulador de aposentadorias precisa ser mais acessível para servidores que não dominam o assunto.

Principais problemas:
Dificuldade na interpretação dos resultados
Complexidade da informação
Falta de clareza nos documentos gerados

Sugestões:
Esclarecer o significado dos valores apresentados
Simplificar a linguagem
Incluir explicações sobre termos e conceitos
Oferecer guia passo a passo
",6,2,20,prezar acreditar precisar acessivel dominar assunto principal problema dificuldade interpretacao resultado complexidade informacao clareza documento gerar sugestao esclarecer significado simplificar linguagem incluir explicacao termo conceito oferecer guia passo passo
2472,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,,14,16,75,
2477,Sim,Discordo parcialmente,2,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo parcialmente,2,,10,10,50,
2478,Sim,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,18,20,95,
2479,Sim,Concordo totalmente,5,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,,14,17,"77,5",
2480,Sim,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,.,19,12,"77,5",
2482,Sim,Discordo parcialmente,2,Discordo parcialmente,2,Concordo totalmente,5,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,"Não concordo, nem discordo",3,,16,10,65,
2483,Sim,Concordo totalmente,5,Concordo totalmente,5,Concordo parcialmente,4,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Acho que teria que ter a emenda correta que cada servidor deve usar na hora de preencher o formulário da simulação.,18,8,65,emenda correto hora preencher formulario
2484,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo parcialmente,2,"Achei a informação sobre a remuneração coerente, dentro da minha previsão. Sistema muito rápido e bem estruturado.",20,19,"97,5",informacao remuneracao coerente previsao rapido estruturado
2485,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,"Muito bom. Entretanto, na primeira página mostra a data prevista da aposentadoria, já no final da simulação não tem esse dado e nem o valor estimado.",18,17,"87,5",entretanto pagina mostrar data prever dado estimar
2487,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Discordo parcialmente,2,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Tenho a impressão de que algumas funções ou informações estão um pouco ""escondidas"". Não foi possível sabe do que se tratavam certas funções antes de realmente usá-las. Na dúvida, não acessei alguns botões importantes, até que recebi informações de pessoas mais experientes para acessar.",15,18,"82,5",impressao algum funcao informacao escondido tratar certo funcao realmente las duvida acessar algum botao importante recebir informacao pessoa experiente acessar
2488,Sim,Discordo parcialmente,2,Discordo totalmente,1,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo parcialmente,2,,14,18,80,
2489,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Não,15,11,65,
2490,Sim,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Só Elogios ,20,0,50,elogio
2493,Sim,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,17,15,80,
2494,Sim,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,"Não concordo, nem discordo",3,Concordo parcialmente,4,"Não concordo, nem discordo",3,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,"O simulador é muito importante, entretanto ele não puxa o tempo que já averbei de outros vínculos, portanto, neste caso específico, se torna inútil. Sugiro fazer adequação para que possamos ter resultados mais concretos. ",11,17,70,importante entretanto puxar averbar outro vinculo especifico tornar inutil sugiro adequacao possar resultado concreto
