ID,"1
Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência","2
Eu achei o Simulador de Aposentadoria muito complexo","3
Eu achei o Simulador de Aposentadoria fácil de usar","4
Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria","5
Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas","6
Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência","7
Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente","8
Eu achei o Simulador de Aposentadoria difícil de usar","9
Eu me senti confiante usando o Simulador de Aposentadoria","10
Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria","Agradeço a sua participação e abro o espaço para que você possa contribuir com alguma crítica, sugestão ou elogio sobre o Simulador de Aposentadoria."
2389,4,4,4,3,3,3,3,4,3,2,
2391,3,1,5,1,3,1,5,1,5,1,
2394,5,1,5,3,5,1,5,1,5,1,
2399,5,1,5,1,3,3,5,1,5,1,O simulador deveria abordar os aspectos do BE e do TC que são muito importantes para os servidores que migraram. 
2401,5,2,4,4,2,2,4,1,4,4,"Como fica a situação dos servidores que ingressaram antes da EC 20 no que tange a atual alteração realizada em 2019. Não há o direito a PARIDADE e INTEGRALIDADE? 

Passou a ser ""Expectativa do DIREITO"", também?"
2402,5,5,3,5,2,3,1,5,1,5,"Eu não entendi o funcionamento do simulador. Existem diferentes datas de aposentadoria. Eu consigo me aposentar em todas aquelas datas? Quais as diferenças? Na simulação não gerou valores de aposentadoria. No aplicativo não considera o tempo de trabalho e contribuição anterior a entrada no IFSP. O simulador não me esclareceu nada, só me deixou confuso."
2403,5,3,3,5,3,5,3,3,2,3,"Peço que corrijam o simulador. Ao simular o cálculo da aposentadoria para ""EC103 20 §§ 1º E 2º II MAGISTE PEDGMEDI"", o simulador não está levando em conta o meu tempo de contribuição no serviço público estadual, apesar de ter incluído a minha certidão de tempo de serviço/contribuição no sistema."
2404,5,4,1,2,2,5,3,3,1,3,
2406,5,1,5,1,5,1,5,1,5,1,Parabéns pelo simulador. Achei muito prático e simples de utilizar. 
2410,4,4,4,4,4,4,1,4,5,4,
2413,2,3,4,2,2,4,2,4,5,2,
2415,4,3,3,1,4,3,4,1,4,1,
2416,5,1,5,1,5,5,5,1,1,1,"No simulador já posso aposentar agora com o último salário massss o departamento de pessoal local garantiu que não, somente em outubro de 2027 ... "
2418,4,1,5,1,5,1,5,1,5,1,Muito bom
2419,5,2,4,2,4,2,5,1,3,1,"Achei uma ótima solução de acompanhamento da situação atual, especialmente pelo fato de que a DEforma da previdência de 2019 destruiu grande parte dos direitos de aposentadoria com vários retrocessos.

Seria importante que o simulador englobasse situações diversas, envolvendo mais de um tipo de contribuição, como por exemplo tempo de contribuição anterior do INSS, se a pessoa é ou não vinculada à FUNPRESP e qual seria o cenário APÓS solicitar aposentadoria, se haverá atualização salarial, etc.

"
2421,4,2,2,1,5,3,4,4,5,1,
2425,5,1,5,1,5,2,5,1,5,1,"Parabéns pela ferramenta, fácil de usar. Como sugestão, a ferramenta poderia informar somente a forma mais vantajosa de aposentadoria para o servidor. Na simulação realizada, obtive cinco opções para requerer aposentadoria, MAS uma delas as vantagens apresentadas eram superiores às demais, então, essa foi a escolhida para simular a aposentadoria. Uma dúvida, esse simulador traz informação confiável? Fiquei muito otimista com o resultado obtido."
2426,4,4,5,2,5,1,2,2,2,1,"Fácil de usar, porém, para quem tem dificuldade com sistemas, os normativos podem confundir."
2431,4,2,4,1,1,3,4,1,4,1,
2432,4,2,4,2,4,3,3,3,4,2,Achei bom
2434,5,1,5,4,3,3,4,2,4,4,Senti falta das opções de aposentaria proporcional ao tempo de contribuição. 
2435,4,2,4,2,4,2,4,2,4,2,
2436,4,1,5,2,4,2,2,1,1,2,"Acredito que por se tratar de uma ferramenta feita para o servidor público poderia trazer, uma integração maior com os dados do INSS, apresentando o tempo que, por ventura, o servidor tenha na iniciativa privada e permita que o mesmo escolha se quer averbar esse tempo ou não. "
2437,5,1,5,1,4,2,4,1,4,1,
2438,5,4,5,1,5,1,5,1,5,1,Uma ferramenta que contribui para transparência dos direitos vinculado às respostas rápidas e eficiente das dúvidas de cálculos de aposentadoria.  Eficiência na resposta para o cidadão em qualquer lugar com Internet.  Sem filas e sem espera. 
2439,4,4,2,2,2,4,2,2,3,3,
2441,4,2,2,4,2,3,4,2,4,2,Poderia haver um espaço para simular a inserção de outros vínculos para a gente saber se vale a pena fazer o averbamento do tempo de serviço ou não.  
2442,2,1,1,1,2,2,3,1,1,2,"Falta integração com o tempo de averbação na iniciativa privada, pelo visto esse simulador, só leva  consideração o tempo efetivo no serviço público "
2446,3,5,2,5,3,3,2,5,2,3,"Achei complicado estimar o valor da aposentadoria. Não fica claro.
Mesmo não tendo tempo de contribuição pra fazer o cálculo exato, o simulador poderia fazer uma estimativa em função dos valores recebidos no momento."
2449,4,5,1,5,3,3,2,5,1,3,
2450,4,1,5,1,5,1,5,1,5,1,"Nem todas as respostas vem acompanhadas da lei que determina a possibilidade de aposentadoria. Talvez citar a lei seria melhor, mas fácil de consultar para compreender o pq não pode ainda aposentar ou pq o servidor não atende a exigência. "
2451,5,1,5,1,5,1,5,1,5,1,
2452,4,3,3,2,3,3,4,1,4,2,
2459,2,1,5,1,4,2,4,1,4,2,"Deveria de ter um campo para colocar período do RGPS, "
2460,4,4,5,2,2,2,2,2,2,2,Não entendi o motivo de não conseguir usar o simulador por não ter o tempo para aposentar. Não é um simulador? Então poderia fazer uma projeção.
2462,3,2,3,2,3,1,3,1,1,1,"Muito interessante o Simulador, já trabalhei com Aposentadoria no MF e hoje com meus 45 anos de Serviço Público preencho os requisitos apresentados, com certeza. "
2466,1,4,2,5,1,5,1,4,1,4,"Confuso ao que refere cada tipo de aposentadoria. Pelos meus cálculos me aposento com 30 anos de serviço. Mas não apareceu essa opção.
"
2469,5,5,5,2,5,3,5,1,5,1,"Senhores organizadores, favor colocar aba para procedimentos e orientações quanto as questões relacionadas à averbação do tempo de serviço em outra rede pública. "
2471,5,5,1,5,3,3,1,5,1,5,"Prezados, acredito que o simulador de aposentadorias precisa ser mais acessível para servidores que não dominam o assunto.

Principais problemas:
Dificuldade na interpretação dos resultados
Complexidade da informação
Falta de clareza nos documentos gerados

Sugestões:
Esclarecer o significado dos valores apresentados
Simplificar a linguagem
Incluir explicações sobre termos e conceitos
Oferecer guia passo a passo
"
2472,4,2,4,1,3,2,4,2,4,2,
2477,2,4,3,4,3,2,4,3,3,2,
2478,3,1,5,1,5,1,5,1,5,1,
2479,5,1,2,2,4,2,4,2,4,1,
2480,5,5,5,1,4,5,5,1,5,1,.
2482,2,2,5,4,4,1,5,5,5,3,
2483,5,5,4,5,5,5,4,1,5,1,Acho que teria que ter a emenda correta que cada servidor deve usar na hora de preencher o formulário da simulação.
2484,5,1,5,1,5,1,5,1,5,2,"Achei a informação sobre a remuneração coerente, dentro da minha previsão. Sistema muito rápido e bem estruturado."
2485,5,1,5,1,4,4,5,1,4,1,"Muito bom. Entretanto, na primeira página mostra a data prevista da aposentadoria, já no final da simulação não tem esse dado e nem o valor estimado."
2487,5,2,4,2,4,1,2,1,5,1,"Tenho a impressão de que algumas funções ou informações estão um pouco ""escondidas"". Não foi possível sabe do que se tratavam certas funções antes de realmente usá-las. Na dúvida, não acessei alguns botões importantes, até que recebi informações de pessoas mais experientes para acessar."
2488,2,1,5,2,4,1,4,1,4,2,
2489,4,4,5,4,2,2,5,2,4,2,Não
2490,5,5,5,5,5,5,5,5,5,5,Só Elogios 
2493,5,3,5,3,4,2,3,1,5,1,
2494,3,1,4,1,3,4,3,1,3,1,"O simulador é muito importante, entretanto ele não puxa o tempo que já averbei de outros vínculos, portanto, neste caso específico, se torna inútil. Sugiro fazer adequação para que possamos ter resultados mais concretos. "
2496,4,1,5,1,4,2,4,1,5,1,"Contra o simulador nada a declarar, só elogios.  Quanto ao resultado da minha consulta, que achei ótimo por sinal, é que não entendi porque aquela informação não foi tão confiável, pois me pediram um documento chamado CTC, emitido pelo INSS, e eu já tendo um emitido pouco tempo após o meu ingresso no Órgão (CTS) que foi aceito e utilizado para a averbação concluída na minha matrícula funcional.  Seria o atesto do atesto?"
2497,3,3,3,1,3,4,3,2,2,2,"Fiz migração de regime, aderindo ao FUNPRESP.
Não apareceu o Benefício especial..
Não ficou claro meu tempo já averbado anterior
Enfim, não pude conferir efetivamente a minha previsão de aposentadoria "
2502,5,2,4,3,5,3,5,2,5,5,Há previsão de incluir a simulação de aposentadoria do servidor com deficiência? Sou autista nível 2 de suporte e tenho interesse em simular aposentadoria considerando a deficiência 
2505,4,2,4,2,2,4,4,4,4,4,"Bala um ambiente de está bom, para um simulado, precisa melhorar bastante, está faltando algumas integração."
2507,5,3,5,5,1,5,5,1,1,1,"Parabéns pelo software, mas mesmo com normas bem claras, tem muitas situações em que o servidor veio de outros órgãos da administração estadual/municipal e tem causa na justiça, deveria ser igual como era na CGU em que podemos personalizar as entradas dos dados"
2508,5,1,5,2,5,1,5,1,5,1,
2509,4,4,5,5,4,4,4,5,4,5,Como está vinculado ao sigepe seria mais prático se pudesse observar os resultados apenas digitando a data de início no serviço público. Ao vincular várias opções vai trazer algumas dificuldades!
2514,1,5,1,5,3,1,1,1,1,3,Não entendi nada
2515,4,2,5,2,5,1,5,1,5,1,Gostei muito da ferramenta. Vai ajudar muitos servidores a se programar na sua carreira e definir qual  a melhor opção de aposentadoria que irá escolher.
2518,2,2,2,2,2,3,2,2,2,2,
2521,5,2,3,1,2,3,3,1,5,1,Está ferramenta facilitará nossas consultss
2522,5,1,3,3,1,5,1,3,1,3,"o aplicativo é INÚTIL para meu caso pois optei pelo sistema Benefício Especial + Teto INSS + funpresp, e estes calculos não estão disponíveis. "
2525,1,1,5,4,5,1,5,1,4,1,"No meu caso, fiquei com dúvidas quanto ao fundamento legal da minha aposentadoria, tenho ou não tenho direito a paridade e remuneração integral?"
2528,4,4,1,4,2,4,3,5,5,5,Complexo. Poderia abrir abas explicativas e exemplificações.
2530,4,2,4,4,4,2,4,2,4,2,
2531,4,3,3,4,3,2,3,1,3,1,"Não deu para desconsiderar o tempo de contribuição do cargo anterior, pois eu sou professor. Na última fase, não apareceu o ano de aposentadoria e o provento. Resumindo: deu um bug. "
2532,5,1,5,1,5,1,5,5,5,1,Nada a acrescer.
2536,4,2,4,2,4,3,3,2,4,1,
2538,5,1,5,1,5,3,5,1,5,1,"Considerando a importância do tema aposentadoria, gostaria de sugerir cursos rápidos de formação para uma aposentadoria mais tranquila, pode ser também dicas de investimentos a longo prazo, diálogos com psicólogos que tratam da temática aposentadoria.  Enfim, um programa pensado para se pensar uma aposentadoria tranquila."
2539,4,4,4,1,2,4,4,1,3,4,
2540,3,3,3,3,3,3,3,3,3,3,Nada a declarar 
2543,1,2,5,4,4,1,4,1,4,4,Poderia ter uma simulação dos descontos de previdência e IRPF bem como excluir as piores situações de aposentadoria para cada situação individual ou manter somente as melhores situações para cada servidor. 
2545,5,2,4,3,3,1,3,3,3,3,Não consigo fazer nenhuma simulação pois informa tempo de contribuição insuficiente e também não informa como seria o suficiente para a simulação. 
2546,3,3,3,3,3,3,3,3,3,3,Não
2547,4,2,5,3,4,3,4,2,4,3,
2550,3,2,3,1,3,3,3,3,4,3,
2551,4,1,4,1,4,1,4,1,4,1,Poderia incluir no simulador o tempo de afastamento para aperfeiçoamento e tempo de insalubridade
2555,5,4,3,1,2,3,4,2,3,1,
2556,5,1,5,1,2,5,5,1,1,1,"Solicito ajustes no simulador em relação à fundamentação legal aposentadoria pedágio de 100%.  No simulador consta a fundamentação legal EC 103 ART. 20, §§ 1º e 2º, I essa fundamentação desconsidera o critério paridade previsto na regra de transição do art.20 da EC 103/2019, dessa forma, a fundamentação correta é EC 103 ART. 20, §§ 1º e 2º, I e § 3º I.
Ressaltamos que não considerar o critério de paridade conforme EC 41/2003 e regra de transição do art.20 da EC 103/2019 viola direitos. Grata"
2562,4,3,4,5,4,3,4,3,4,3,
2563,3,1,5,1,4,1,5,1,3,1,"Ao simulador não tenho nada a declarar, mas não tenho como não comentar essa EC de 2019, pois quando ingressei no órgão em 2013, a exigência para aposentadoria era de 10 anos de funcionalismo público e após essa EC, passou para 20 anos, onde já se viu um absurdo desse? Dobrar o salário, isso ninguém quer, agora dobrar as exigências pra ter direito à um benefício, no caso a aposentadoria, ah isso pode. Só me resta ¿¿¿¿¿¿¿¿ e indignar-se com tamanho absurdo. "
2564,5,5,5,1,5,1,5,5,5,1,
2565,4,2,4,3,2,4,5,1,3,1,
2566,2,2,4,1,4,1,2,4,2,1,"Não se trata de um problema exatamente do Simulador de Aposentadoria, mas sim de interpretação da Lei. Poderia ter uma descrição objetiva das vantagens e desvantagens de cada modalidade de Aposentadoria.
Além disso se o Aplicativo tem todos os nossos dados, por que não pode logo apontar a modalidade mais vantajosa para o servidor?"
2568,5,4,2,4,4,3,4,4,4,2,"Tenho algumas dúvidas: O valor apresentado da média aritmética é o LÌQUIDO ou BRUTO ???

No texto: APOSENTADORIA VOLUNTARIA, COM BASE NO ART. 10 DA EMENDA CONS TITUCIONAL 103/2019. CONSTITUCIONAL 103/2019 REQUISITOS: 25 ANOS DE CONTRIBUICAO, 65 ANOS DE IDADE SE HOM EM E 62 SE MULHER, 5 ANOS NO CARGO E 10 ANOS NO SERVICO PUBL ICO.

São 25 anos de contribuição OU 35 anos ????

Os fundamentos legais não ficaram claro pra mim. Foram apresentado três fundamentos legais pra mim, mas porque três ??????"
2573,5,1,5,1,5,1,4,1,5,1,"Eu achei o simulador muito bom. É intuitivo, bem fácil de usar. Parabéns aos desenvolvedores."
2576,4,2,4,2,2,1,4,1,4,1,
2578,5,1,5,1,5,1,5,1,4,1,
2580,5,1,5,1,3,3,4,1,3,1,
2581,2,2,2,1,2,2,2,2,1,2,"O Simulador desconsidera os anos trabalhados em outros órgãos públicos Federais, Estaduais e Municipais. 
Ou seja, o tempo averbado não é levado em consideração."
2582,5,1,4,1,2,2,1,5,2,1,
2584,3,4,3,2,3,3,2,1,4,1,"Não é difícil de usar, mas tenho certeza que muitas pessoas terão dificuldade devido a compreensão do testo. Deveria dizer qual seria o melhor caminho financeiramente para a pessoa se aposentar. 
Gostaria de sugerir para que no final da simulação vinhesse escrito o resultado, tipo ¿Você já pode se aposentar ou então sua aposentadoria será a partir do dia x do ano x."
2585,5,1,5,1,5,1,5,1,4,1,"Gostei muito de usar o simulador, pois assim não dependeremos de setor específico para termos noção das informações de nossa aposentadoria. Fiquei na dúvida se os fundamentos legais apresentados em minha simulação sofrerão algum decréscimo no provento final, pois o sistema apresentou apenas o valor da média salarial de 100%, não informando se será proporcionalizado em decorrência do tempo de contribuição."
2587,3,3,3,3,3,3,3,3,3,3,Precisa informar a média apurada e descontos incidentes
2588,1,1,4,1,3,5,1,1,3,3,"Gostaria de saber o porquê de o simulador não considerar para os cálculos da simulação, o período de cargo anterior que tenho, já que não perdi o vínculo?  Apenas assumi novo cargo e, com isso não tenho certeza se ele simula na regra adequada."
2589,2,4,4,3,4,5,1,3,1,5,"Usar o simulador é MUITO FACIL, mas não poderia dar 6 OPÇÕES DE RESPOSTA, ora bolas!!!! EU, por exemplo, me enquadro em TODOS os quesitos  das opções. POrtanto, CONTINUO SEM SABER com que valor vou me aposentar.  Claro que quero o maior valor. Mas o governo, certamente, quer me pagar o menor valor... COncordam? COmo fazer então para que eu fique na melhor opção na hora de dar entrada? A questão não é usar o simulador. É entender qual das 6 respostas possíveis se aplicará a mim."
2593,2,2,2,2,2,2,2,2,2,2,Deveria ser mais clara e com uma linguagem mais acessível. 
2594,5,1,5,1,5,1,5,1,5,1,
2596,3,3,2,1,3,4,4,2,3,2,
2597,5,1,5,1,5,1,5,1,5,2,
2598,2,3,3,4,1,4,3,3,3,3,
2602,4,1,1,5,5,1,5,1,5,1,
2603,5,2,4,5,5,4,5,1,2,1,
2604,3,2,3,1,5,5,3,3,5,1,Os servidores portadores de deficiência não conseguem fazer a simulação.
2605,3,4,4,4,4,4,4,1,4,4,"Muito bem elabirado, porém devemosvterbumvespecoalista que nis
 Oriente avdolucitar a aposentadoria com já acabou a seguranca"
2609,4,2,4,2,2,2,2,2,2,2,
2611,3,2,3,3,2,3,2,3,3,2,"Falta informação sobre o valor do beneficio especial dos servidores que migraram o regime de previdência.
Fui servidor do MPF e tenho o cálculo do meu benefício especial por lá, inclusive com os valores atualizados anualmente.
O executivo federal poderia disponibilizar a mesma ferramenta aos que já averbaram seus tempos de serviço e contribuição."
2615,4,4,4,2,3,3,4,2,4,4,
2616,4,3,4,4,4,3,4,2,3,3,"Preciso que detalhem os descontos, para saber o valor líquido a receber."
2617,5,1,4,1,4,2,3,1,3,5,"Tem que ter um campo para a inclusão dos anos de
Contribuição ao INSS para aqueles servidores que, como eu, ainda não transferiram o tempo de contribuição como CLT ou autônomo para o RJU, porque senão fica prejudicada a simulação. Quando entrei no serviço público, no cargo de magistério superior, já tinha 20 anos de contribuição ao INSS os quais não transferi para o sistema previdenciário dos servidores públicos."
2618,4,3,4,4,1,3,3,3,3,3,
2619,4,2,5,2,4,2,4,2,4,2,
2620,5,1,5,3,4,3,4,1,3,5,Confesso que fiz uma simulação e que precisarei contratar um advogado com especialidade em Direito Previdenciário para me ajudar.
2623,4,1,5,1,5,1,5,1,5,3,gostaria de elogiar o empenho em desenvolver e manter uma plataforma tão essencial. Eu sou muito fã do sougov!!!!
2624,5,1,5,1,5,3,3,1,4,5,
2625,2,3,4,1,4,3,4,2,4,4,
2628,1,2,4,1,2,3,3,1,5,1,
2629,1,1,5,4,4,1,5,1,5,4,
2630,4,4,5,4,5,3,5,2,4,1,Não
2631,4,2,4,2,3,5,4,2,5,1,"Bom dia. Ele, apesar de mostrar a data de início para o serviço público, não a considera para o tempo total. Falha grave no meu entendimento. "
2632,4,3,2,4,2,3,4,3,2,3,Não
2634,5,4,3,3,3,3,3,3,3,4,Não possui o tempo averbado de outro regime nem para incluí-lo manualmente. Fica a contagem prejudicada 
2638,5,1,5,1,5,3,5,1,4,1,
2639,4,2,4,1,4,1,5,1,4,1,Mesmo sem ter o direito adquirido o simulador poderia fornecer a estimativa do valor do benefício.
2640,1,2,4,2,2,3,2,2,4,1,
2641,5,1,5,1,5,1,5,1,5,1,
2642,5,2,5,2,3,3,4,2,3,2,
2643,3,1,5,1,4,1,4,2,5,1,
2644,4,3,3,3,4,3,3,3,3,3,As mesmas regras do RGPS são válidas no RPPS? Tipo Descartes das menores contribuições? E outras?
2645,4,5,1,4,2,4,2,5,1,3,Achei o app pouco intuitivo e com as instruções muito técnicas. 
2650,5,1,5,1,5,1,5,1,5,1,
2651,4,4,5,4,5,1,5,1,5,1,"Não tenho o que acrescentar
"
2654,3,1,5,1,4,1,5,1,5,1,Sistema satisfez minha expectativa. 
2661,5,1,5,1,5,3,4,1,5,1,Talvez incluir as diferenças entre os regimes e o salário estimado de aposentadoria do servidor na data da consulta para se ter uma ideia do impacto econômico provável. 
2662,4,1,5,1,1,5,1,1,1,1,quem microu para o RPC em novembro e dezembro de 2022 constou que a média contempla 80% das maiores remunerações do servidor. nã parece que foi isso que foi contemplado na simulação.
2665,3,1,4,1,4,1,4,1,4,1,
2666,4,4,4,4,4,1,3,2,4,3,"Acho que o simulador de aposentadoria deveria demonstrar de forma clara, a regra mais vantajosa implementada para aposentadoria do servidor."
2667,3,2,3,3,3,2,2,3,2,3,"Ex:Recebo abono Permanência desde 20/05/2011 pelo artigo 2 da emenda constitucional 41/2003 a partir  de 01/01/206 e aposentadoria desde 23/04/2011 pelo artigo 3 da emenda constitucional 47/2005 com redução de idade mínima E,todo este simulado a data é 13/11/2019.Pergunto,qual sairia com paridade totaledeixando a pensão padrão cônjuge.Obrigada.."
2673,4,3,3,2,1,4,3,3,3,2,"Quero possibilidade colocar meu tempo CLT, ou seja digitar meus períodos da CPTS"
2675,5,1,5,1,5,1,5,1,5,1,Esse simulador ajuda o servidor a conhecer melhor seus direitos e diminui em muito a burocracia na informação 
2676,5,3,3,1,4,1,5,1,5,1,"Poderia haver um quadro comparativo financeiramente entre as situações possíveis, desde a mais vantajosa até a menos vantajosa."
2678,5,1,5,1,5,1,5,1,5,1,Simulador objetivo e fácil de usar.  Foi importante pra mim poder ver meu tempo total de contribuição que contém períodos de RGPS e RPPS juntos. Gostei muito de ter acesso a essa informação. 
2680,1,3,3,3,3,3,3,1,3,1,Vejo uma possível dificuldade em saber em quais dos tipos de aposentadoria a pessoa saberá se enquadrar
2681,4,4,3,2,3,3,4,2,3,3,
2688,5,1,5,1,5,1,5,1,5,1,Fácil de usar e bastante completo. Me pareceu também bastante consistente e confiável. 
2690,3,3,3,3,3,3,3,3,3,3,
2692,2,3,3,3,2,2,4,3,3,4,
2695,5,5,1,5,1,5,1,5,1,1,"O simulador apresenta hipóteses que não dão em resultado nenhum, nem deixa claro qual das hipóteses legais é compatível de fato com meu cargo de docente."
2696,5,1,5,1,5,1,5,1,5,1,Achei o Simulador mto prático para nosso uso no dia a dia. Parabens!
2706,3,5,2,5,2,2,2,2,2,4,Não entendi perfeitamente em qual dos itens era mais vantajoso para decisão de uma futura aposentadoria. Acredito que necessitaria de melhor esclarecimento em cada uma das opções para facilitar a decisão
2708,4,2,4,2,4,4,2,1,1,2,"O simulador apresenta uma contribuição totalmente inconsistente para o mês 10/1994., em ralação ao contra-cheque. Ao desprezá-la a remuneração da aposentadoria DIMINUI, o que não dá para entender.
Deveria ter uma explicação de como é feito o cálculo para chegar àquela contribuição e o que deve ser feito caso esteja inconsistente.
Deveria ser também disponibilizada uma calculadora, onde a gente entraria com o desconto do PSS realizado, o ano e o mês e ela mostraria o salário de contribuição."
2711,4,3,3,3,3,3,3,3,3,3,"Colocar uma opção de adicionar tempo de serviço em outro serviço público, exemplo eu tenho 5 anos em prefeitura antes de ser servidor público federal. Agradeço."
2713,4,1,5,2,5,1,5,1,5,1,Muito prático e didático.
2715,3,3,2,3,3,3,3,3,3,3,
2716,5,1,5,1,2,4,4,1,3,1,Ao escolher os meses que eu quero para simular o valor da minha minha aposentadoria vem uma mensagem de erro. Como o valor está relacionado a média dos meses isso faz muita diferença.
2723,4,2,4,2,2,3,4,2,5,2,"Senti falta da aplicação das regras especiais de aposentadoria para serem aplicadas, como aposentadoria especial para pessoa com deficiência."
2725,5,3,5,3,5,3,3,3,5,3,
2726,5,5,5,1,1,1,5,1,5,1,Não tenho sugestão 
2728,5,4,5,4,5,4,4,1,5,1,"Entendo q Deveria ser esclarecido pq tempo existente não foi considerado. No meu caso ocorreu isso e não consegui entender 
Já no questionário entendo q a dificuldade não está no uso do simulador mas na interpretação das hipóteses previstas. Para essas sem dúvida é necessário ajuda de alguém da área "
2730,4,1,5,1,5,1,5,1,5,1,
2731,5,1,5,1,5,1,5,1,5,1,"O simulador, foi muito útil, pois agora tenho a noção, por qual regra irei me aposentar e o fundamento legal."
2733,3,1,5,2,4,2,4,1,2,2,"Deveria também fazer simulação na regra que ainda não atingiu o direito, usando uma projeção de salário futuros. Realizando assim, uma simulação também nessa regra para orientação da melhor opção ao servidor."
2734,4,2,2,3,2,3,2,3,3,3,O simulador não apresenta nenhum resultado. 
2735,4,2,3,2,4,2,3,2,4,2,
2736,4,1,4,1,2,1,5,1,5,1,"Deveria constar o valor a ser recebido e não só o tempo previsto para aposentadoria. 
Tb sugiro q contenham opções de aposentadoria por invalidez no caso de servidor com doença relacionada e não relacionada ao trabalho."
2739,5,1,5,1,4,1,4,1,2,1,
2744,3,1,5,1,5,3,3,1,4,1,
2746,4,2,3,3,2,3,3,3,2,3,
2748,5,1,5,1,5,4,5,1,4,1,Gostei muito de ter essa funcionalidade pois agora consigo eu mesma simular minha aposentadoria. Gostaria que houvesse a possibilidade de simular salário também pelo fundamento legal que ainda não está atingido mas que falta pouco tempo para atingir. Pelo menos que fornecesse uma estimativa.
2750,3,1,4,4,4,2,4,1,5,1,Simulador fácil de usar
2754,5,1,5,1,5,1,4,1,5,1,
2755,5,4,2,2,3,4,2,4,2,4,"Gostei da interface, mas há muitas siglas que causam dúvidas e incompreensão sobre o que os dados utilizados nos cálculos.
Há também, no meu caso, dentre as opções apresentadas na plataforma não consta a apresentada via OFÍCIO Nº 201/2023 - CLN-DGP/DAAP-DGP/DGP-PRD/PRO-PRD/RET/IFSP de 27 de setembro de 2023. que diz que: art. 10, §2º III e § 4º, da EC 103/2019 , garantindo, salvo alteração legislativa ou constitucional ulteriores, a aposentadoria voluntária a partir 02/06/24."
2757,4,5,2,1,2,3,2,4,2,5,Acho que a linguagem pode ser melhorada 
2759,1,1,1,1,1,1,1,1,1,1,
2761,3,4,4,1,4,1,4,1,1,1,Gostei.
2762,5,1,5,5,5,1,5,1,5,1,
2763,5,5,5,1,3,1,3,1,3,1,
2764,5,5,5,1,4,2,5,1,2,1,
2767,4,4,4,4,4,4,4,4,4,4,Não
2770,4,4,4,4,4,4,4,4,4,4,
2776,5,5,3,2,5,1,5,1,1,1,O facilitador ajuda muito
2780,5,4,4,5,5,3,4,4,4,5,Não
2782,1,3,3,2,1,5,2,3,1,3,Disse que vou me aposentar quando eu tiver 120 anos .... tem algo muito errado aí. 
2783,3,5,1,5,1,3,1,5,1,3,"O simulador é interessante, mais precisa ter uma linguagem menos técnica. "
2784,3,2,1,1,1,5,2,1,1,1,Tenho 37 anos de contribuição e 63 anos e não há qualquer hipótese de aposentadoria para mim. Como assim???
2786,3,1,5,1,5,1,5,1,5,1,
2793,3,2,5,2,3,2,4,2,4,2,"Para mim aparece 2 possibilidades de aposentadoria, uma delas deverei estar com 105 anos, acho isso impossível.
É preciso deixar mais clara a  lei que ampara para usar tipo pontos,  tempo, enfim e ter um simulador de cálculos de salário. "
2794,4,4,1,1,5,1,5,1,4,1,
2795,3,1,3,1,2,1,3,1,3,1,
2796,2,3,4,4,2,4,4,4,2,4,
2802,4,2,4,2,3,2,4,4,4,2,"Possibilitar incluir tempo de serviço ou contribuição de outro regime de previdência, por exemplo, RGPS.
Mas, destaco a boa iniciativa de proporcionar aos funcionários quanto tempo falta para aposentadoria, quais regras se dará o direito, inclusive com perspectiva de valores da aposentadoria. "
2806,4,1,1,1,5,1,5,1,4,1,
2809,3,2,5,1,3,1,3,1,5,1,"Poderia ser integrado ao sistema de contribuições do INSS, pois tenho tempo de contribuição ainda não averbado. "
2810,5,3,5,1,2,1,5,1,5,1,Como eu tenho um CTC que foi averbada ela não aparece no simulador. Acredito que para representar a atual realidade teria que ter um campo no simulador para adicionar periodos que não não estão no sistema. Não posso simular minha aposentadoria porque não tenho o tempo da minha CTC no sistema.
2812,3,1,5,1,1,3,3,3,4,1,
2817,4,3,2,4,2,4,2,4,4,2,"No simulador apenas aparece opção de aposentadoria pelo rpps, acho que deveria mostrar também a opção pelo rgps"
2819,4,4,2,5,2,2,2,4,2,4,Não consegui entender direito as opções apresentadas no simulador.
2820,4,1,1,2,1,3,3,1,2,3,"Como se trata de um simulador, poderia apresentar a informação completa. Ele não ajuda em muita coisa porque não faz a simulação da aposentadoria quando chegar os periodos possiveis da aposentadoria do servidor. So aparece a data. Sugiro que melhorem o simulador, incluindo a previsão do valor de aposentadoria"
2823,5,1,4,1,4,1,5,1,4,1,muito fácil de simular a aposentadoria
2824,3,3,3,3,3,3,3,3,3,3,ok
2828,4,2,2,4,1,3,3,3,2,3,
2833,5,1,5,2,4,1,4,1,5,1,
2835,5,3,4,1,3,2,4,2,3,1,acho importante saber o índice de atualização monetária aplicado em cada competência 
2842,5,5,5,1,5,1,5,1,5,1,
2843,3,2,2,3,2,3,2,3,2,3,Sem sugestões.
2850,5,1,5,1,5,1,5,2,5,4,O simulador de aposentadoria veio pra facilitar o calculo do tempo de serviço
